受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726006161,2026-05-08,2026-05-11,&#23425;波日恒&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y5630FR ,シャツ,03製品、白刺繍、白アップリケ刺繍,しまむら,,合格,,
61026009808,2026-05-08,2026-05-11,&#19996;莞市浩&#37995;箱包有限公司,岡山,,高木,1P6709A ,生地(リール付パスケース),35イエロー、35イエロー無地、63サックス、63サックス無地、65ブルー、65ブルー無地,しまむら,合格,,,
Q2726006113,2026-05-08,2026-05-11,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9M625VR/9M626VR/9M627VR ,インナー,03、N9,しまむら,合格,,,
Q2726006108,2026-05-07,2026-05-09,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,F5639WZ ,半袖T,15,しまむら,,合格,,
Q2726005987,2026-05-07,2026-05-09,青&#23707;屹??工&#36152;有限?任公司,レディ－スカジュアル,,レディ-スカジュアル,J5635JR/J5636JR ,生地,67、N9,しまむら,合格,,,
Q2726005983,2026-05-07,2026-05-09,青&#23707;吉利基&#19994;&#36152;易公司,紳士ナイティー,,紳士ナイティー,11635TR ,パジャマ,67製品、白シックテープ,しまむら,,合格,,
Q2726006103,2026-05-07,2026-05-09,青&#23707;&#21326;杉&#36152;易有限公司,ジーンズカジュアル,,ジーンズカジュアル,DM6570R(191119) ,メンズパンツ,N9ひも、N9本体、N9製品,しまむら,合格,合格,,
61026009769,2026-05-07,2026-05-09,&#19996;莞市浩&#37995;箱包有限公司,岡山,,高木,1Z6749A ,,13アイボリー用表側、65ブルー用表側、N3グレー用表側、グレー内側,しまむら,合格,,,
61026009549,2026-05-07,2026-05-09,南通泰&#23572;佳&#38024;&#32455;制衣有限公司,岡山,,右手　カジュアル部,C5632WR ,,製品、ブルー系刺繍,しまむら,合格,合格,,
61526009235,2026-05-07,2026-05-09,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5632BR ,Tシャツ,05レッドリブ、63サックス本体、製品,しまむら,合格,合格,,
61526009233,2026-05-07,2026-05-09,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5630EZ F5631EZ  F5632EZ ,,25オレンジ天竺、25オレンジリブ、55グリーン天竺、55グリーンリブ、63サックス天竺、63サックスリブ、67ネイビー天竺、N0ホワイト天竺、N2オートミール天竺、N3グレー杢天竺、N3グレー杢リブ、N7チャコール天竺、N7チャコールリブ、ブラックテープ,しまむら,合格,,,
61526009229,2026-05-07,2026-05-09,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2630RR/E2631RR ,,65ブルー、N7チャコール、N7チャコールリブ、N9ブラック、N9ブラックリブ、ブラックDTテープ,しまむら,合格,,,
61526009241,2026-05-07,2026-05-09,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5630QZ ,生地(丸首半袖T),10オフホワイト天竺、66ブルーグレーリブ、N3グレー(杢)リブ、N7チャコール天竺,しまむら,合格,,,
61026009643,2026-05-07,2026-05-09,如皋帝晨服&#39280;有限公司,岡山,,伊藤,216338R ,,10オフホワイト、65ブルー、N0ホワイト、N9ブラック、N9ブラック本体,しまむら,合格,合格,,
Q2726005971,2026-05-06,2026-05-08,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4363EHA/4363DHA ,パジャマ,03、N3、N9,しまむら,合格,,,
