"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"F4630WZ/YL-2500B6-B","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-009966","合格","合格","2026/04/21","合格(追試:合格)〈コメント有〉","","","0"
"Y4631ZA","㈱しまむら","1","","","DL-26-011057","合格","合格","2026/05/07","合格","","","0"
"Y4630EA","㈱しまむら","2","","","DL-26-011059","合格","合格","2026/05/07","合格","","","0"
"MB1028V/YL22066","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-011065","合格","合格","2026/05/07","合格(追試:合格)〈コメント有〉","","","0"
"MB1026V/YL22066","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-011067","合格","合格","2026/05/07","合格(追試:合格)〈コメント有〉","","","0"
"C5632WA","㈱しまむら","2","","","DL-26-010062","合格","合格","2026/04/22","","","","0"
"A563GRR/A46300R/A46310R/A56300R/A56310R","㈱しまむら","1","","","DL-26-010674","合格","合格","2026/04/29","","","","0"
"A563LRR/A5630ER","㈱しまむら","3","","","DL-26-010676","合格","合格","2026/05/06","","","","0"
"A563HRR","㈱しまむら","1","","","DL-26-010709","合格","合格","2026/04/30","合格(追試:合格)","","","0"
"A563JRR","㈱しまむら","1","","","DL-26-010723","合格","合格","2026/04/30","合格(追試:合格)","","","0"
"A5634MR","㈱しまむら","","","","DL-26-010743","","合格","2026/04/30","合格(追試:合格)","","","0"
"Y463VMA","㈱しまむら","1","","","DL-26-010863","合格","合格","2026/05/06","合格","","","0"
"X5639RR","㈱しまむら","","","","DL-26-010923","","合格","2026/05/06","合格(追試:合格)","","","0"
"G4631WZ/1010","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-010936","合格","合格","2026/05/06","合格","","","0"
"X4630HR/X4631HR/X4632HR/X5630HR/X5631HR/X5632HR/X4632ER/X0630ER","㈱しまむら","3","","","DL-26-011029","合格","合格","2026/05/07","","","","0"
"A563ERR/A563FRR/A563GRR/A46300R/A46310R/A56310R","㈱しまむら","4","","","DL-26-011105","合格","合格","2026/05/07","","","","0"
"A563DPR","㈱しまむら","1","","","DL-26-010528","合格","合格","2026/04/28","合格(追試:合格)","","","0"
"A563DPR/A563HRR/A563JRR/A563KRR/A563RER/A563SER/A563TER/A563UER/A563QZR/A563CER/A5636PR/A4620ER/A4623PR/A4625RR/A463CER/A4635ER/A5634PR","㈱しまむら","17","","","DL-26-010611","合格","合格","2026/04/29","","","","0"
"X0630ER","㈱しまむら","1","","","DL-26-010670","合格","合格","2026/04/29","","","","0"
"X5638RR","㈱しまむら","","","","DL-26-010727","","合格","2026/04/30","合格(追試:合格)","","","0"
"Y4631EA","㈱しまむら","2","","","DL-26-010758","合格","合格","2026/04/30","合格","","","0"
"X4634WR","㈱しまむら","1","","","DL-26-010763","合格","合格","2026/04/30","合格(追試:合格)","","","0"
"X4633WR","㈱しまむら","1","","","DL-26-010772-1","合格","合格","2026/04/30","","","","0"
"X4633WR","㈱しまむら","1","","","DL-26-010776","合格","合格","2026/04/30","合格(追試:合格)","","","0"
"R2650PZ R2651PZ RU65KPZ","㈱しまむら","2","","","DL-26-010780-1","合格","合格","2026/04/30","","","","0"
"A5634MR/A563DPR/A563HRR/A563JRR/A563KRR/A563RER/A563SER/A563TER/A563UER/A563QZR/A563CER/A5636PR/A4620ER/A4623PR/A4625RR/A463CER/A4635ER/A5634PR/C5632WA","㈱しまむら","17","","","DL-26-011104","合格","合格","2026/05/07","","","","0"
"Z4630ZR","㈱しまむら","1","","","DL-26-010668","合格","合格","2026/04/29","合格(追試:合格)","","","0"
"X4632WR","㈱しまむら","1","","","DL-26-010671","合格","合格","2026/04/29","合格(追試:合格)〈コメント有〉","","","0"
"Z4630TR","㈱しまむら","2","","","DL-26-010315-1","合格","合格","2026/04/29","","","","0"
